room,sigma,error
112,0.0235699,0.013840438612991997
112,0.0255914,0.011685663224653075
112,0.0231822,0.005005367119402415
112,0.0220653,0.02603726944209002
113,0.0225129,0.07766001931496047
113,0.0217448,0.018180918568653153
113,0.025219,0.04820721626478754
113,0.0280015,0.06435823866452535
113,0.031088,0.07183135585522525
113,0.0233886,0.09678902055501958
114,0.0223144,0.024843228453645033
114,0.0241004,0.03683831972281039
114,0.0808524,0.05143062511772533
114,0.0692054,0.044559444565658746
114,0.0277754,0.05759492338739614
114,0.0226437,0.056431184641118654
115,0.0227614,0.009432120652324459
115,0.0222925,0.012722421153224011
115,0.460814,0.0624146399813375
115,0.689995,0.0649728480520899
115,0.0300765,0.1597694980276275
115,0.0230725,0.0030434519874643004
116,0.021128,0.00865374624136851
116,0.024062,0.006779150685004616
116,0.0466922,0.0071591958354273845
116,0.0598334,0.006640753120693348
116,0.0598334,0.08498871325070131
116,0.0245709,0.007018228694620916
117,0.0252446,0.024470619117627705
117,0.0297303,0.015823678459827198
117,0.0251221,0.0061026060007180645
